tweet_id,text,timestamp,likes,retweets,has_image
1,"NammaYatri is a game changer for BLR. No commission means drivers are actually happy!","2026-03-01 08:30:00",450,85,True
2,"Waited 20 mins for a ride at Indiranagar. GPS was jumping everywhere. #NammaYatri","2026-03-01 09:15:00",12,2,False
3,"Love the yellow and blue branding. Much better than the competitors.","2026-03-02 11:00:00",88,15,True
4,"Driver took the long way but didn't complain once. Love the direct pay feature.","2026-03-02 18:45:00",34,4,False
5,"Why is the app so much faster than Uber? #TechInOoru #NammaYatri","2026-03-03 10:20:00",120,30,True
6,"Direct to driver payment is the way. Cutting out middleman commissions.","2026-03-04 07:50:00",210,45,False
7,"Can we get NammaYatri for cabs too? The auto experience is so much better.","2026-03-05 12:00:00",56,8,True
8,"The metro integration needs work. Hard to find the auto at Majestic exit.","2026-03-06 17:30:00",45,12,False
9,"Happy driver = Happy ride. Support local tech!","2026-03-07 09:00:00",340,90,True
10,"The app crashed twice near Silk Board. Anyone else?","2026-03-08 18:10:00",5,1,False